关键词,编码,品目名称,保留
交通艇,A02421300,机动船,True
巡逻艇,A02421300,机动船,True
缉私艇,A02421300,机动船,True
工作艇,A02421300,机动船,True
指挥艇,A02421300,机动船,True
侦勘艇,A02421300,机动船,True
装备艇,A02421300,机动船,True
橡皮艇,A02421300,机动船,True
冲锋舟,A02421300,机动船,True
摩托艇,A02421300,机动船,True
浮船坞,A02421400,浮船坞、码头和维修工作船,True
浮码头,A02421400,浮船坞、码头和维修工作船,True
舾装工作船,A02421400,浮船坞、码头和维修工作船,True
一般修理船,A02421400,浮船坞、码头和维修工作船,True
水线修理船,A02421400,浮船坞、码头和维修工作船,True
船舶制造设备,A02421500,船舶制造设备,True
号料设备，钢材预处理流水线，管子加工流水线，平面分段流水线，联动生产流水线，船台小车，船舶试验设备,A02421500,船舶制造设备,True
重潜装具,A02421600,潜水设备,True
轻潜装具,A02421600,潜水设备,True
氧气供应系统,A02421600,潜水设备,True
潜水训练舱群,A02421600,潜水设备,True
潜水设备,A02421600,潜水设备,True
潜水系统,A02421600,潜水设备,True
无人遥控潜水器,A02421600,潜水设备,True
无人潜水器吊放回收系统,A02421600,潜水设备,True
深水切割设备,A02421600,潜水设备,True
水下切割缆,A02421600,潜水设备,True
深水观察箱,A02421600,潜水设备,True
水下腐蚀测量仪,A02421600,潜水设备,True
减压舱,A02421600,潜水设备,True
潜水罐,A02421600,潜水设备,True
氢氧潜水软头盔,A02421600,潜水设备,True
氢氧潜水硬头盔,A02421600,潜水设备,True
氢氧校音电话,A02421600,潜水设备,True
潜水供热水机,A02421600,潜水设备,True
浮标设施（海上浮标,A02421700,航标设施,True
内河浮标,A02421700,航标设施,True
系船浮标,A02421700,航标设施,True
井位浮标,A02421700,航标设施,True
浮标锚链（缆）,A02421700,航标设施,True
其他浮标设施）,A02421700,航标设施,True
岸标设施（内河岸标,A02421700,航标设施,True
指路牌（里程牌）,A02421700,航标设施,True
其他岸标设施）,A02421700,航标设施,True
雷达信标（雷达应答器,A02421700,航标设施,True
雷达反射器,A02421700,航标设施,True
其他雷达信标）,A02421700,航标设施,True
航标遥测终端（公共通信链路遥测终端,A02421700,航标设施,True
北斗遥测终端,A02421700,航标设施,True
其他航标遥测终端）,A02421700,航标设施,True
大射程航标灯,A02421800,航标灯、闪光器,True
小型航标灯,A02421800,航标灯、闪光器,True
闪光器,A02421800,航标灯、闪光器,True
换泡机,A02421800,航标灯、闪光器,True
航标透镜,A02421800,航标灯、闪光器,True
水上交通运输设备零部件,A02421900,水上交通运输设备零部件,True
其他水上交通运输设备,A02429900,其他水上交通运输设备,True
航空器及其配套设备,A02430000,航空器及其配套设备,True
货物运输飞机,A02430100,固定翼飞机,True
客运飞机,A02430100,固定翼飞机,True
通用航空类飞机,A02430100,固定翼飞机,True
教练机,A02430100,固定翼飞机,True
初级类飞机,A02430100,固定翼飞机,True
直升机,A02430200,直升机,True
警用飞机,A02430300,专用飞机,True
抢险救援飞机,A02430300,专用飞机,True
地质勘测专用飞机,A02430300,专用飞机,True
农用飞机,A02430300,专用飞机,True
消防灭火飞机,A02430300,专用飞机,True
海监飞机,A02430300,专用飞机,True
飞行器,A02430400,飞行器,True
滑翔伞,A02430400,飞行器,True
内场维修设备,A02430500,飞机维修设备,True
航线维修设备,A02430500,飞机维修设备,True
航空港设备,A02430600,航空港设备,True
机务特种车辆,A02430700,机场地面特种车辆,True
机场特种车辆,A02430700,机场地面特种车辆,True
商务运输车辆,A02430700,机场地面特种车辆,True
飞行维修车辆,A02430700,机场地面特种车辆,True
航行特种车辆,A02430700,机场地面特种车辆,True
油料车辆,A02430700,机场地面特种车辆,True
便携式防空火箭,A02430800,火箭及发射、维护设施,True
反坦克火箭的发射筒(架),A02430800,火箭及发射、维护设施,True
无人机,A02430900,无人机,True
航空器零部件,A02431000,航空器零部件,True
其他航空器及其配套设备,A02439900,其他航空器及其配套设备,True
海洋仪器设备,A02440000,海洋仪器设备,True
海洋台站水文气象自动观测仪器,A02440100,海洋水文气象仪器设备,True
波浪测量仪器,A02440100,海洋水文气象仪器设备,True
海流测量仪器,A02440100,海洋水文气象仪器设备,True
验潮仪,A02440100,海洋水文气象仪器设备,True
海底地形地貌测量仪器设备,A02440200,海洋地质地球物理仪器设备,True
海洋底质仪器设备,A02440200,海洋地质地球物理仪器设备,True
海底热流测量仪器设备,A02440200,海洋地质地球物理仪器设备,True
磁力测量仪,A02440200,海洋地质地球物理仪器设备,True
数字海底地震测量仪,A02440200,海洋地质地球物理仪器设备,True
电火花地震仪,A02440200,海洋地质地球物理仪器设备,True
海洋微生物调查仪器,A02440300,海洋生物仪器设备,True
浮游生物调查仪器,A02440300,海洋生物仪器设备,True
走航式二氧化碳连续测量仪,A02440400,海洋化学仪器设备,True
营养盐分析仪,A02440400,海洋化学仪器设备,True
多参数水质仪,A02440400,海洋化学仪器设备,True
海洋声学特性测量仪器,A02440500,海洋声光仪器设备,True
海洋光学特性测量仪器,A02440500,海洋声光仪器设备,True
生物采样设备,A02440600,海洋船用船载仪器设备,True
底质采样设备,A02440600,海洋船用船载仪器设备,True
水体采样设备,A02440600,海洋船用船载仪器设备,True
各种海洋调查用轿车,A02440600,海洋船用船载仪器设备,True
包含浮标,A02440700,海洋综合观测平台,True
海洋综合观测平台,A02440700,海洋综合观测平台,True
水下机器人,A02440700,海洋综合观测平台,True
水下生物观测平台,A02440700,海洋综合观测平台,True
深海空间站,A02440700,海洋综合观测平台,True
海上目标的搜索,A02440800,海洋执法装备,True
海洋执法装备,A02440800,海洋执法装备,True
取整仪器设备,A02440800,海洋执法装备,True
波浪浮标检定装置,A02440900,海洋计量检测设备,True
温盐检定装置,A02440900,海洋计量检测设备,True
验潮仪检定装置,A02440900,海洋计量检测设备,True
水静压力试验系统,A02440900,海洋计量检测设备,True
中空纤维反渗透组织,A02441000,海水淡化与综合利用设备,True
蒸馏法海水淡化蒸馏喷射装置,A02441000,海水淡化与综合利用设备,True
海水冷却塔,A02441000,海水淡化与综合利用设备,True
海洋仪器设备零部件,A02441100,海洋仪器设备零部件,True
海域测量仪，航行自动跟踪仪,A02449900,其他海洋仪器设备,True
文艺设备,A02450000,文艺设备,True
弓弦乐器,A02450100,乐器,True
管乐器,A02450100,乐器,True
打击乐器,A02450100,乐器,True
键盘乐器,A02450100,乐器,True
乐器辅助用品,A02450100,乐器,True
戏剧服装,A02450200,演出服饰,True
舞蹈服装,A02450200,演出服饰,True
演出饰品,A02450200,演出服饰,True
舞台机械系统，幕布系统，舞台灯具,A02450300,舞台设备,True
辅助设备，舞台音响设备，活动舞台，皮影,A02450300,舞台设备,True
舞台设备,A02450300,舞台设备,True
舞台用地胶,A02450300,舞台设备,True
自动售票系统,A02450400,影剧院设备,True
观众座椅,A02450400,影剧院设备,True
电影放映设备,A02450400,影剧院设备,True
文艺设备零部件,A02450500,文艺设备零部件,True
其他文艺设备,A02459900,其他文艺设备,True
体育设备设施,A02460000,体育设备设施,True
田赛设备,A02460100,田赛设备,True
跳高架,A02460100,田赛设备,True
撑杆跳高架,A02460100,田赛设备,True
跨栏架,A02460200,径赛设备,True
起跑器,A02460200,径赛设备,True
接力棒,A02460200,径赛设备,True
障碍架,A02460200,径赛设备,True
发令枪,A02460200,径赛设备,True
终点柱,A02460200,径赛设备,True
足球设备,A02460300,球类设备,True
篮球设备,A02460300,球类设备,True
排球设备,A02460300,球类设备,True
乒乓球设备,A02460300,球类设备,True
羽毛球设备,A02460300,球类设备,True
网球设备,A02460300,球类设备,True
垒球设备,A02460300,球类设备,True
冰球设备,A02460300,球类设备,True
手球设备,A02460300,球类设备,True
水球设备,A02460300,球类设备,True
曲棍球设备,A02460300,球类设备,True
高尔夫球设备,A02460300,球类设备,True
马球设备,A02460300,球类设备,True
橄榄球设备,A02460300,球类设备,True
藤球设备,A02460300,球类设备,True
台球设备,A02460300,球类设备,True
沙弧球设备,A02460300,球类设备,True
壁球设备,A02460300,球类设备,True
保龄球设备,A02460300,球类设备,True
棒球设备,A02460300,球类设备,True
体操设备,A02460400,体操设备,True
高低杠,A02460400,体操设备,True
平衡木,A02460400,体操设备,True
弹簧板,A02460400,体操设备,True
助跳板,A02460400,体操设备,True
举重杠铃,A02460500,举重设备,True
举重台,A02460500,举重设备,True
杠铃片,A02460500,举重设备,True
锁紧器,A02460500,举重设备,True
举重设备,A02460500,举重设备,True
哑铃架,A02460500,举重设备,True
游泳池,A02460600,游泳设备,True
戏水池,A02460600,游泳设备,True
跳水设备,A02460700,跳水设备,True
滑水板,A02460800,水上运动设备,True
冲浪板,A02460800,水上运动设备,True
水上运动设备,A02460800,水上运动设备,True
体育运动用船,A02460800,水上运动设备,True
潜水运动设备,A02460900,潜水运动设备,True
冰上运动设备,A02461000,冰上运动设备,True
冰球拍,A02461000,冰上运动设备,True
冰球围网,A02461000,冰上运动设备,True
冰球网柱,A02461000,冰上运动设备,True
旱冰鞋,A02461000,冰上运动设备,True
直排式旱冰鞋,A02461000,冰上运动设备,True
滑雪屐,A02461100,雪上运动设备,True
滑雪板扣件,A02461100,雪上运动设备,True
滑雪杖,A02461100,雪上运动设备,True
普通气枪,A02461200,射击设备,True
汽步枪,A02461200,射击设备,True
汽手枪,A02461200,射击设备,True
运动步枪,A02461200,射击设备,True
运动手枪,A02461200,射击设备,True
击剑设备,A02461300,击剑设备,True
射箭设备,A02461400,射箭设备,True
摩托车运动设备,A02461500,摩托车运动设备,True
自行车运动设备,A02461600,自行车运动设备,True
赛车运动设备,A02461700,赛车运动设备,True
赛马和马术运动设备,A02461800,赛马和马术运动设备,True
拳击、跆拳道设备,A02461900,拳击、跆拳道设备,True
摔跤、柔道设备,A02462000,摔跤、柔道设备,True
散打、武术设备,A02462100,散打、武术设备,True
扑克牌,A02462200,棋牌类运动设备,True
棋牌类运动设备,A02462200,棋牌类运动设备,True
航模、海模及其他模型设备,A02462300,航模、海模及其他模型设备,True
钓鱼竿,A02462400,垂钓器具和用品,True
鱼线轮,A02462400,垂钓器具和用品,True
垂钓器具和用品,A02462400,垂钓器具和用品,True
钓鱼用支架,A02462400,垂钓器具和用品,True
登山镐,A02462500,登山设备,True
登山绳,A02462500,登山设备,True
登山安全带,A02462500,登山设备,True
攀岩模拟器,A02462500,登山设备,True
跑步机,A02462600,健身设备,True
电动跑步机,A02462600,健身设备,True
健身车,A02462600,健身设备,True
踏步器,A02462600,健身设备,True
登高器,A02462600,健身设备,True
漫步器,A02462600,健身设备,True
震动按摩器,A02462700,运动康复设备,True
磁性震动按摩器,A02462700,运动康复设备,True
电动足底按摩器,A02462700,运动康复设备,True
多功能按摩器,A02462700,运动康复设备,True
按摩沙发磁力按摩床,A02462700,运动康复设备,True
水力按摩浴缸,A02462700,运动康复设备,True
足底按摩轮,A02462700,运动康复设备,True
手握式按摩圈,A02462700,运动康复设备,True
轮椅篮球设备,A02462800,残疾人体育及训练设备,True
轮椅橄榄球设备,A02462800,残疾人体育及训练设备,True
硬地滚球设备,A02462800,残疾人体育及训练设备,True
脑瘫足球设备,A02462800,残疾人体育及训练设备,True
盲人足球设备,A02462800,残疾人体育及训练设备,True
盲人门球设备,A02462800,残疾人体育及训练设备,True
坐式排球设备,A02462800,残疾人体育及训练设备,True
残疾人健身与康复训练设备,A02462800,残疾人体育及训练设备,True
场馆设施辅助器材,A02462900,体育运动辅助设备,True
裁判用计时记分器材,A02462900,体育运动辅助设备,True
记分牌,A02462900,体育运动辅助设备,True
裁判桌,A02462900,体育运动辅助设备,True
裁判椅,A02462900,体育运动辅助设备,True
发奖台,A02462900,体育运动辅助设备,True
体育设备零部件,A02463000,体育设备零部件,True
单站位配重训练器,A02469900,其他体育设备设施,True
单站位配重综合训练器,A02469900,其他体育设备设施,True
多站位配重综合训练器,A02469900,其他体育设备设施,True
拳击台,A02469900,其他体育设备设施,True
其他体育设备设施,A02469900,其他体育设备设施,True
充气褥垫,A02469900,其他体育设备设施,True
遮阳伞,A02469900,其他体育设备设施,True
娱乐设备,A02470000,娱乐设备,True
成套游乐场设备,A02470100,成套游乐场设备,True
一般游乐场设备,A02470200,一般游乐场设备,True
智能游艺设备,A02470300,智能游艺设备,True
博弈设备,A02470400,博弈设备,True
彩票销售设备,A02470500,彩票销售设备,True
卡拉 OK 设备,A02470600,卡拉 OK 设备,True
游戏游览用车、船,A02470700,游戏游览用车、船,True
活动辅助设备,A02470800,活动辅助设备,True
娱乐设备零部件,A02470900,娱乐设备零部件,True
玩偶车,A02479900,其他娱乐设备,True
供儿童骑乘的带轮玩具,A02479900,其他娱乐设备,True
儿童自行车,A02479900,其他娱乐设备,True
儿童三轮车,A02479900,其他娱乐设备,True
电动童车,A02479900,其他娱乐设备,True
绒玩偶,A02479900,其他娱乐设备,True
陶瓷玩偶,A02479900,其他娱乐设备,True
塑料玩偶,A02479900,其他娱乐设备,True
乳胶玩偶,A02479900,其他娱乐设备,True
填充的玩具动物,A02479900,其他娱乐设备,True
非填充的玩具动物,A02479900,其他娱乐设备,True
文物和陈列品,A03000000,文物和陈列品,True
可移动文物,A03020000,可移动文物,True
玉石器、宝石,A03020100,玉石器、宝石,True
金银器,A03020500,金银器,True
铁器、其他金属器,A03020600,铁器、其他金属器,True
雕塑、造像,A03020800,雕塑、造像,True
石器、石刻、砖瓦,A03020900,石器、石刻、砖瓦,True
书法、绘画,A03021000,书法、绘画,True
文具（文物）,A03021100,文具（文物）,True
玺印符牌,A03021300,玺印符牌,True
牙骨角器,A03021500,牙骨角器,True
竹木雕,A03021600,竹木雕,True
家具（文物）,A03021700,家具（文物）,True
珐琅器,A03021800,珐琅器,True
古籍善本,A03022000,古籍善本,True
碑帖拓本,A03022100,碑帖拓本,True
文件、宣传品,A03022400,文件、宣传品,True
档案文书,A03022500,档案文书,True
名人遗物,A03022600,名人遗物,True
玻璃器,A03022700,玻璃器,True
乐器、法器,A03022800,乐器、法器,True
音像制品,C23140400,文化、体育用品和器材专门零售服务,True
票据（文物）,A03023100,票据（文物）,True
交通、运输工具,A03023200,交通、运输工具,True
度量衡器,A03023300,度量衡器,True
标本、化石,A03023400,标本、化石,True
其他可移动文物,A03029900,其他可移动文物,True
文创衍生品,A03030000,文创衍生品,True
市容管理服务,C13040000,市容管理服务,True
工艺美术品,C23140400,文化、体育用品和器材专门零售服务,True
民间美术品,A03030600,民间美术品,True
摄影艺术品,A03030700,摄影艺术品,True
其他文创衍生品,A03039900,其他文创衍生品,True
动物标本,A03040100,动物标本,True
人体标本,A03040200,人体标本,True
人体病理标本,A03040300,人体病理标本,True
植物标本,A03040400,植物标本,True
医药标本,A03040500,医药标本,True
矿物标本,A03040600,矿物标本,True
其他标本,A03049900,其他标本,True
天体模型,A03050100,天体模型,True
生物模型,A03050200,生物模型,True
人体模型,A03050300,人体模型,True
人体病理模型,A03050400,人体病理模型,True
其他模型,A03059900,其他模型,True
图书和档案,A04000000,图书和档案,True
文化、体育用品和器材专门零售服务,C23140400,文化、体育用品和器材专门零售服务,True
普通图书,C23110600,图书和音像制品租赁服务,True
书籍、课本,A04010101,书籍、课本,True
百科全书,A04010103,百科全书,True
年鉴及系列丛书,A04010104,年鉴及系列丛书,True
儿童图画书及涂色书,A04010105,儿童图画书及涂色书,True
其他普通图书,A04010199,其他普通图书,True
盲文图书,C23110600,图书和音像制品租赁服务,True
盲文书籍、课本,A04010201,盲文书籍、课本,True
盲文词典,A04010202,盲文词典,True
盲文百科全书,A04010203,盲文百科全书,True
盲文年鉴及系列丛书,A04010204,盲文年鉴及系列丛书,True
其他盲文图书,A04010299,其他盲文图书,True
其他图书,A04019900,其他图书,True
广告宣传服务,C23150000,广告宣传服务,True
普通期刊,A04020100,普通期刊,True
其他普通期刊,A04020199,其他普通期刊,True
其他期刊,A04029900,其他期刊,True
文物中的文献入“A03020000可移动文物”,A04030100,特种文献资料,True
视听资料,A04030300,视听资料,True
机读资料,A04030400,机读资料,True
其他资料,A04039900,其他资料,True
纸质档案,A04040100,纸质档案,True
录音磁带,A04040200,声像档案,True
录像磁带,A04040200,声像档案,True
影片档案,A04040200,声像档案,True
照片档案,A04040300,照片档案,True
缩微胶片档案,A04040700,缩微胶片档案,True
实物档案,A04040800,实物档案,True
其他档案,A04049900,其他档案,True
家具和用具,A05000000,家具和用具,True
五金、家具和室内装修材料专门零售服务,C23140800,五金、家具和室内装修材料专门零售服务,True
家具维修和保养服务,C23120600,家具维修和保养服务,True
钢木床类,A05010101,钢木床类,True
钢塑床类,A05010102,钢塑床类,True
轻金属床类,A05010103,轻金属床类,True
木制床类,A05010104,木制床类,True
塑料床类,A05010105,塑料床类,True
竹制床类,A05010106,竹制床类,True
藤床类,A05010107,藤床类,True
其他床类,A05010199,其他床类,True
台、桌类,A05010200,台、桌类,True
办公桌,A05010201,办公桌,True
会议桌,A05010202,会议桌,True
教学、实验用桌,A05010203,教学、实验用桌,True
包含大茶几,A05010204,茶几,True
小茶几,A05010204,茶几,True
其他台、桌类,A05010299,其他台、桌类,True
椅凳类,A05010300,椅凳类,True
办公椅,A05010301,办公椅,True
桌前椅,A05010302,桌前椅,True
会议椅,A05010303,会议椅,True
教学、实验椅凳,A05010304,教学、实验椅凳,True
其他椅凳类,A05010399,其他椅凳类,True
沙发类,A05010400,沙发类,True
三人沙发,A05010401,三人沙发,True
单人沙发,A05010402,单人沙发,True
其他沙发类,A05010499,其他沙发类,True
文件柜,A05010502,文件柜,True
更衣柜,A05010503,更衣柜,True
保密柜,A05010504,保密柜,True
保险柜,A05010504,保密柜,True
茶水柜,A05010505,茶水柜,True
其他柜类,A05010599,其他柜类,True
木质架类,A05010601,木质架类,True
金属质架类,A05010602,金属质架类,True
其他架类,A05010699,其他架类,True
屏风类,A05010700,屏风类,True
木质屏风类,A05010701,木质屏风类,True
金属质屏风类,A05010702,金属质屏风类,True
其他屏风类,A05010799,其他屏风类,True
集多种功能于一体,A05010800,组合家具,True
无法拆分的成套家具,A05010800,组合家具,True
其他家具,A05019900,其他家具,True
厨卫用具,A05020100,厨卫用具,True
厨房操作台,A05020101,厨房操作台,True
炊事机械,A05020102,炊事机械,True
吸油烟机,A05020102,炊事机械,True
煤气罐（液化气罐）,A05020103,煤气罐（液化气罐）,True
便器冲洗阀,A05020107,便器冲洗阀,True
水箱配件,A05020108,水箱配件,True
淋浴器,A05020110,淋浴器,True
淋浴房,A05020111,淋浴房,True
其他厨卫用具,A05020199,其他厨卫用具,True
其他用具,A05029900,其他用具,True
纺织用料,A05030100,纺织用料,True
棉、化纤纺织及印染原料,A05030101,棉、化纤纺织及印染原料,True
已梳皮棉,A05030101,棉、化纤纺织及印染原料,True
毛纺织、染整加工原料,A05030102,毛纺织、染整加工原料,True
麻纺织原料,A05030103,麻纺织原料,True
麻纤维原料,A05030103,麻纺织原料,True
麻纱线,A05030103,麻纺织原料,True
亚麻布,A05030103,麻纺织原料,True
丝绢纺织及精加工原料,A05030104,丝绢纺织及精加工原料,True
化纤长丝机织物,A05030104,丝绢纺织及精加工原料,True
特种丝织物,A05030104,丝绢纺织及精加工原料,True
其他纺织用料,A05030199,其他纺织用料,True
皮革、毛皮等用料,A05030200,皮革、毛皮等用料,True
半成品革,A05030201,半成品革,True
牛半成品革,A05030201,半成品革,True
马半成品革,A05030201,半成品革,True
绵羊半成品革,A05030201,半成品革,True
成品革和再生革,A05030202,成品革和再生革,True
鞣制及人造毛皮,A05030203,鞣制及人造毛皮,True
鞣制毛皮,A05030203,鞣制及人造毛皮,True
天然毛皮制品,A05030203,鞣制及人造毛皮,True
人造毛皮,A05030203,鞣制及人造毛皮,True
加工羽毛（绒）,A05030204,加工羽毛（绒）,True
加工填充用羽毛,A05030204,加工羽毛（绒）,True
加工填充用羽绒,A05030204,加工羽毛（绒）,True
其他皮革、毛皮等用料,A05030299,其他皮革、毛皮等用料,True
执勤服类,A05030301,制服,True
作训服类,A05030301,制服,True
功能服类,A05030301,制服,True
羽绒、羽毛服装,A05030302,羽绒、羽毛服装,True
普通服装,A05030303,普通服装,True
鞋、靴及附件,A05030304,鞋、靴及附件,True
被服附件,A05030305,被服附件,True
其他被服,A05030399,其他被服,True
床上装具,A05030400,床上装具,True
床褥单,A05030401,床褥单,True
毛巾被,A05030407,毛巾被,True
其他床上装具,A05030499,其他床上装具,True
羽绒（毛）,A05030499,其他床上装具,True
兽毛寝具,A05030499,其他床上装具,True
类似填充用品，棉制寝具,A05030499,其他床上装具,True
类似填充用品，丝绸寝具,A05030499,其他床上装具,True
类似填充用品,A05030499,其他床上装具,True
室内装具,A05030500,室内装具,True
台布（桌布）,A05030501,台布（桌布）,True
盥洗、厨房用织物制品,A05030504,盥洗、厨房用织物制品,True
窗帘及类似品,A05030505,窗帘及类似品,True
垫子套,A05030506,垫子套,True
其他室内装具,A05030599,其他室内装具,True
室外装具,A05030600,室外装具,True
天篷、遮阳篷、帐篷,A05030601,天篷、遮阳篷、帐篷,True
船帆、风帆和野营用等物品,A05030602,船帆、风帆和野营用等物品,True
降落伞,A05030603,降落伞,True
可操纵降落伞,A05030603,降落伞,True
滑翔降落伞,A05030603,降落伞,True
旋翼降落伞,A05030603,降落伞,True
绳、索、缆及其制品,A05030604,绳、索、缆及其制品,True
结制网,A05030604,绳、索、缆及其制品,True
其他室外装具,A05030699,其他室外装具,True
箱、包和类似制品,A05030700,箱、包和类似制品,True
衣箱、提箱及类似容器,A05030701,衣箱、提箱及类似容器,True
手提包、背包,A05030702,手提包、背包,True
其他箱、包和类似制品,A05030799,其他箱、包和类似制品,True
其他装具,A05039900,其他装具,True
办公用品,A05040000,办公用品,True
纸制文具,A05040100,纸制文具,True
复印纸,A05040101,复印纸,True
再生复印纸,A05040101,复印纸,True
其他纸制文具,A05040199,其他纸制文具,True
硒鼓、粉盒,A05040200,硒鼓、粉盒,True
鼓粉盒,A05040201,鼓粉盒,True
再生鼓粉盒,A05040201,鼓粉盒,True
墨粉盒,A05040202,墨粉盒,True
喷墨盒,A05040203,喷墨盒,True
墨水盒,A05040204,墨水盒,True
其他硒鼓、粉盒,A05040299,其他硒鼓、粉盒,True
墨、颜料,A05040300,墨、颜料,True
其他墨、颜料,A05040399,其他墨、颜料,True
文教用品,A05040400,文教用品,True
其他文教用品,A05040499,其他文教用品,True
清洁用品,A05040500,清洁用品,True
卫生用纸制品,A05040501,卫生用纸制品,True
消毒杀菌用品,A05040502,消毒杀菌用品,True
公共环境卫生与家庭用的清洁产品,A05040502,消毒杀菌用品,True
消杀用品,A05040502,消毒杀菌用品,True
肥(香)皂和合成洗涤剂,A05040503,肥(香)皂和合成洗涤剂,True
口腔清洁护理用品,A05040504,口腔清洁护理用品,True
护齿品,A05040504,口腔清洁护理用品,True
牙齿清洁剂,A05040504,口腔清洁护理用品,True
其他清洁用品,A05040599,其他清洁用品,True
信息化学品,A05040600,信息化学品,True
胶片胶卷,A05040601,胶片胶卷,True
录音录像带,A05040602,录音录像带,True
其他信息化学品,A05040699,其他信息化学品,True
摄影感光纸，片基，摄影,A05040699,其他信息化学品,True
复印用化学制剂，未灌（录）制相关媒体,A05040699,其他信息化学品,True
其他办公用品,A05049900,其他办公用品,True
特种动植物,A06000000,特种动植物,True
特种用途动物,A06010000,特种用途动物,True
实验用动物,A06010100,实验用动物,True
动物良种,A06010200,动物良种,True
观赏动物,A06010300,观赏动物,True
警犬入此,A06010400,警用动物,True
搜救犬入此,A06010500,搜救动物,True
导盲犬入此,A06010600,助残动物,True
其他特种用途动物,A06019900,其他特种用途动物,True
特种用途植物,A06020000,特种用途植物,True
名贵树木,A06020100,名贵树木,True
名贵花卉,A06020200,名贵花卉,True
其他特种用途植物,A06029900,其他特种用途植物,True
建筑建材,A07010000,建筑建材,True
天然石料,A07010100,天然石料,True
天然大理石荒料,A07040502,建筑用天然石料,True
天然花岗石荒料,A07040502,建筑用天然石料,True
石英岩,A07010103,石英岩,True
建筑用天然石料,A07040502,建筑用天然石料,True
其他天然石料,A07010199,其他天然石料,True
木材、板材,A07010200,木材、板材,True
普通锯材,A07010201,普通锯材,True
特种锯材,A07010202,特种锯材,True
铁路货车锯材,A07010202,特种锯材,True
载重汽车锯材,A07010202,特种锯材,True
船用锯材,A07010202,特种锯材,True
未浸渍枕木,A07010203,枕木,True
已浸渍枕木,A07010203,枕木,True
木片和木粒,A07010204,木片和木粒,True
木丝、木粉,A07010205,木丝、木粉,True
锯末、木废料及碎片,A07010206,锯末、木废料及碎片,True
胶合板,A07010207,胶合板,True
木胶合板,A07010207,胶合板,True
竹胶合板,A07010207,胶合板,True
纤维板,A07010208,纤维板,True
木质纤维板,A07010208,纤维板,True
非木质纤维板,A07010208,纤维板,True
刨花板,A07010209,刨花板,True
木质刨花板,A07010209,刨花板,True
非木质刨花板,A07010209,刨花板,True
细木工板,A07010210,细木工板,True
刨切单板,A07010211,单板,True
旋切单板,A07010211,单板,True
微薄木,A07010211,单板,True
强化木,A07010212,强化木,True
指接材,A07010213,指接材,True
人造板表面装饰板,A07010214,人造板表面装饰板,True
直接印刷板,A07010214,人造板表面装饰板,True
人造染色板,A07010214,人造板表面装饰板,True
合成树脂浸渍贴面板,A07010214,人造板表面装饰板,True
热固性树脂装饰层压板,A07010215,热固性树脂装饰层压板,True
竹制品,A07010216,竹制品,True
棕、藤、草制品,A07010217,棕、藤、草制品,True
其他木材、板材,A07010299,其他木材、板材,True
非金属矿物材料,A07010300,非金属矿物材料,True
硅酸盐水泥熟料,A07010301,硅酸盐水泥熟料,True
窖外分解窖水泥熟料,A07010301,硅酸盐水泥熟料,True
强度等级水泥,A07010302,水泥,True
通用硅酸盐水泥,A07010302,水泥,True
特性水泥,A07010302,水泥,True
生石灰,A07010303,石灰,True
消石灰,A07010303,石灰,True
水硬石灰,A07010303,石灰,True
熟石膏,A07010304,熟石膏,True
建筑熟石膏,A07010304,熟石膏,True
化学熟石膏,A07010304,熟石膏,True
商品混凝土,A07010305,商品混凝土,True
水泥混凝土排水管,A07010306,水泥混凝土排水管,True
钢筋混凝土排水管,A07010306,水泥混凝土排水管,True
水泥混凝土压力管,A07010307,水泥混凝土压力管,True
自应力混凝土输水管,A07010307,水泥混凝土压力管,True
预应力钢筒混凝土管,A07010307,水泥混凝土压力管,True
管芯缠丝工艺混凝土输水管,A07010307,水泥混凝土压力管,True
钢筋混凝土井管、烟道管，相关钢筋混凝土管,A07010308,钢筋混凝土井管、烟道管，相关钢筋混凝土管,True
钢筋混凝土井管,A07010308,钢筋混凝土井管、烟道管，相关钢筋混凝土管,True
钢筋混凝土烟道管,A07010308,钢筋混凝土井管、烟道管，相关钢筋混凝土管,True
相关钢筋混凝土管,A07010308,钢筋混凝土井管、烟道管，相关钢筋混凝土管,True
水泥混凝土电杆,A07010309,水泥混凝土电杆,True
环形钢筋混凝土电杆,A07010309,水泥混凝土电杆,True
环形预应力混凝土电杆,A07010309,水泥混凝土电杆,True
预应力混凝土桩,A07010310,预应力混凝土桩,True
预应力混凝土管桩,A07010310,预应力混凝土桩,True
预应力混凝土方桩,A07010310,预应力混凝土桩,True
遁构法施工用钢筋混凝土管片,A07010311,遁构法施工用钢筋混凝土管片,True
混凝土轨枕及铁道用混凝土制品,A07010312,混凝土轨枕及铁道用混凝土制品,True
预应力混凝土水泥轨枕,A07010312,混凝土轨枕及铁道用混凝土制品,True
气垫火车导轨体段,A07010312,混凝土轨枕及铁道用混凝土制品,True
混凝土轨道板,A07010312,混凝土轨枕及铁道用混凝土制品,True
水泥混凝土预制构件,A07010313,水泥混凝土预制构件,True
钢筋混凝土桩,A07010313,水泥混凝土预制构件,True
钢筋混凝土梁,A07010313,水泥混凝土预制构件,True
钢筋混凝土预制框架,A07010313,水泥混凝土预制构件,True
水泥混凝土制砖、瓦及类似品,A07010314,水泥混凝土制砖、瓦及类似品,True
